ResID;Chinese_Simplified;Chinese_Traditional;Japanese;Korean;English;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic
m1;目录播放;目录播放;Phát trực tiếp;목록 순환;Directory play;Table des matières sur;目录播放;目录播放;目录播放;目录播放;目录播放;目录播放;目录播放;目录播放;目录播放;каталог  воспроизведения ;目录播放;目录播放;目录播放;目录播放;目录播放;目录播放
m2;随机播放;随机播放;Phát ngẫu nhiên;무작위 로 방영;random play;Diffusées au hasard;随机播放;随机播放;随机播放;随机播放;随机播放;随机播放;随机播放;随机播放;随机播放; случайное проигрывание ;随机播放;随机播放;随机播放;随机播放;随机播放;随机播放
m3;录音模式;录音模式;Chế độ ghi âm;녹음 모델;Audio record mode;Modèle ou en cliquant sur “ programme quotidien;录音模式;录音模式;录音模式;录音模式;录音模式;录音模式;录音模式;录音模式;录音模式; режим записи;录音模式;录音模式;录音模式;录音模式;录音模式;录音模式
m4;分辨率;ใบอนุญาต;Độ phân giải;해상도;Resolution;résolution;Auflösung;Dimens.limmagine;分辨率;分辨率;Resolución;分辨率;分辨率;分辨率;分辨率;Резолюции ;分辨率;分辨率;分辨率;分辨率;分辨率;分辨率
m5;循环录影;วนลูปบันทึก;Ghi lặp;순환 기록;Cyclic Record;Donner le cycle;Loop-Aufnahme;Loop diregistrazione;循环录影;循环录影;Grabación continua;循环录影;循环录影;循环录影;循环录影; цикл  записи ;循环录影;循环录影;循环录影;循环录影;循环录影;循环录影
m6;曝光补偿;การเปิดรับแสง;Phơi sáng;노출;Exposure;Compensation pose;Belichtung;Esposizione;曝光补偿;曝光补偿;Exposición;曝光补偿;曝光补偿;曝光补偿;曝光补偿; Экспокоррекция ;曝光补偿;曝光补偿;曝光补偿;曝光补偿;曝光补偿;曝光补偿
m7;运动检测;ตรวจจับการเคลื่อนไหว;Phát hiện chuyển động;움직임 감지;Motion Detection;Détection de mouvement;Bewegung Detect;Movement Detection;运动检测;运动检测;Detección de movimiento;运动检测;运动检测;运动检测;运动检测; обнаружения движения ;运动检测;运动检测;运动检测;运动检测;运动检测;运动检测
m8;录影音频;บันทึกเสียง;Âm thanh;오디오;Audio;Audio vidéo;Rekordaudio;Audio Record ;录影音频;录影音频;Audio de registro;录影音频;录影音频;录影音频;录影音频; видео  и аудио ;录影音频;录影音频;录影音频;录影音频;录影音频;录影音频
m9;日期标签;ตราประทับบนไปรษณียภัณฑ์วันที่;Hiện ngày giờ;날짜 표시;Date Stamp;Date d’étiquetage;Datumsanzeige;Stampa Data;日期标签;日期标签;lmpresión Fecha;日期标签;日期标签;日期标签;日期标签; дата  метки;日期标签;日期标签;日期标签;日期标签;日期标签;日期标签
m10;视频;วิดีโอ;Hình ảnh;비디오;Video;vidéo;Video;Filmati;视频;视频;Video;视频;视频;视频;视频;видео;视频;视频;视频;视频;视频;视频
m11;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD;1296FHD
m12;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P;1080P
m13;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P;720P
m14;WVGA 848x480;WVGA 848x481;WVGA 848x481;WVGA 848x483;WVGA 848x481;WVGA 848x481;WVGA 848x481;WVGA 848x481;WVGA 848x488;WVGA 848x489;WVGA 848x481;WVGA 848x491;WVGA 848x492;WVGA 848x493;WVGA 848x494;WVGA 848x481;WVGA 848x496;WVGA 848x497;WVGA 848x498;WVGA 848x499;WVGA 848x500;WVGA 848x501
m15;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA;VGA
m16;QVGA 320x240;QVGA 320x241;QVGA 320x241;QVGA 320x243;QVGA 320x241;QVGA 320x241;QVGA 320x241;QVGA 320x241;QVGA 320x248;QVGA 320x249;QVGA 320x241;QVGA 320x251;QVGA 320x252;QVGA 320x253;QVGA 320x254;QVGA 320x241;QVGA 320x256;QVGA 320x257;QVGA 320x258;QVGA 320x259;QVGA 320x260;QVGA 320x261
m17;关;ปิด;Tắt;오프;Off;Desactive;Aus;OFF;关;关;Apagado;关;关;关;关;закрыть;关;关;关;关;关;关
m18;1分钟;1 นาที;1 Phút;1 분;1 Minute;1 Mins;1 Min;1 Min;11分钟;12分钟;1 Min;14分钟;15分钟;16分钟;17分钟;1 мин.;19分钟;20分钟;21分钟;22分钟;23分钟;24分钟
m19;2分钟;2 นาที;2 Phút;2 분;2 Minutes;2 Mins;2 Min;2 Min;13分钟;14分钟;2 Min;16分钟;17分钟;18分钟;19分钟;2 мин.;21分钟;22分钟;23分钟;24分钟;25分钟;26分钟
m20;3分钟;3 นาที;3 Phút;3 분;3 Minutes;3 Mins;3 Min;3 Min;18分钟;19分钟;3 Min;21分钟;22分钟;23分钟;24分钟;3 мин.;26分钟;27分钟;28分钟;29分钟;30分钟;31分钟
m21;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
m22;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
m23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
m24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
m25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
m26;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
m27;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
m28;-1/3;-1/3;-1/3;-1/6;-1/3;-1/3;-1/3;-1/3;-1/11;-1/12;-1/3;-1/14;-1/15;-1/16;-1/17;-1/3;-1/19;-1/20;-1/21;-1/22;-1/23;-1/24
m29;-2/3;-2/3;-2/3;-2/6;-2/3;-2/3;-2/3;-2/3;-2/11;-2/12;-2/3;-2/14;-2/15;-2/16;-2/17;-2/3;-2/19;-2/20;-2/21;-2/22;-2/23;-2/24
m30;-1.0;-1.0;-1.0;-1.3;-1.0;-1.0;-1.0;-1.0;-1.8;-1.9;-1.0;-1.11;-1.12;-1.13;-1.14;-1.0;-1.16;-1.17;-1.18;-1.19;-1.20;-1.21
m31;-4/3;-4/3;-4/3;-4/6;-4/3;-4/3;-4/3;-4/3;-4/11;-4/12;-4/3;-4/14;-4/15;-4/16;-4/17;-4/3;-4/19;-4/20;-4/21;-4/22;-4/23;-4/24
m32;-5/3;-5/3;-5/3;-5/6;-5/3;-5/3;-5/3;-5/3;-5/11;-5/12;-5/3;-5/14;-5/15;-5/16;-5/17;-5/3;-5/19;-5/20;-5/21;-5/22;-5/23;-5/24
m33;-2.0;-2.0;-2.0;-2.3;-2.0;-2.0;-2.0;-2.0;-2.8;-2.9;-2.0;-2.11;-2.12;-2.13;-2.14;-2.0;-2.16;-2.17;-2.18;-2.19;-2.20;-2.21
m34;开;เปิด;Bật;에;On;Active;Aus;On;开;开;Encendido;开;开;开;开;вкл;开;开;开;开;开;开
m35;关;ปิด;Tắt;오프;Off;Desactive;An;OFF;关;关;Apagado;关;关;关;关;выкл.;关;关;关;关;关;关
m36;拍照;การถ่ายภาพ;Chụp ảnh;사진;Photograph;fixe;Standbild;Modalita Cattura;拍照;拍照;inmóvil;拍照;拍照;拍照;拍照;Фотография;拍照;拍照;拍照;拍照;拍照;拍照
m37;拍摄方式;ในทางที่ยิง;Chế độ chụp;캡처 모드;Capture Mode;CaptureMode;Aufnahme-modus;Dimens.lmmagine;拍摄方式;拍摄方式;Modo grabación;拍摄方式;拍摄方式;拍摄方式;拍摄方式;CaptureMode ;拍摄方式;拍摄方式;拍摄方式;拍摄方式;拍摄方式;拍摄方式
m38;分辨率;ใบอนุญาต;Độ phân giải;해상도;Resolution;Resolution;Auflösung;Resolution;分辨率;分辨率;Resolución;分辨率;分辨率;分辨率;分辨率;Разрешение ;分辨率;分辨率;分辨率;分辨率;分辨率;分辨率
m39;连拍;ลำดับ;Quay liên tục;순서;Sequence;Sequence;Forsetzen;Continuate;连拍;连拍;continuo;连拍;连拍;连拍;连拍;последовательность ;连拍;连拍;连拍;连拍;连拍;连拍
m40;图像质量;คุณภาพ ;Chất lượng;품질;Quality;Quality;Qualität;Qualita;图像质量;图像质量;Calidad;图像质量;图像质量;图像质量;图像质量;качество ;图像质量;图像质量;图像质量;图像质量;图像质量;图像质量
m41;锐度;ความคมชัด;Độ sắc nét;선명도;Sharpness;Sharpness;Schärfe;Nitidezza;锐度;锐度;Definición;锐度;锐度;锐度;锐度;Резкость ;锐度;锐度;锐度;锐度;锐度;锐度
m42;白平衡;สมดุลสีขาว ;Cân bằng trắng;화이트 밸런스;White Balance;White Balance;Weissbalance;Bilanc.biance;白平衡;白平衡;Balance Blance;白平衡;白平衡;白平衡;白平衡;Баланс белого ;白平衡;白平衡;白平衡;白平衡;白平衡;白平衡
